;appid;name;Year;english;platforms_windows;platforms_mac;platforms_linux;genres_Action;genres_Free to Play;genres_Strategy;genres_Adventure;genres_Indie;genres_RPG;genres_Casual;genres_Simulation;genres_Racing;genres_Violent;genres_Massively Multiplayer;genres_Nudity;genres_Sports;genres_Early Access;genres_Gore;genres_Sexual Content;categories_Multi-player;categories_Online Multi-Player;categories_Local Multi-Player;categories_Valve Anti-Cheat enabled;categories_Single-player;categories_Steam Cloud;categories_Steam Achievements;categories_Steam Trading Cards;categories_Captions available;categories_Partial Controller Support;categories_Includes Source SDK;categories_Cross-Platform Multiplayer;categories_Stats;categories_Commentary available;categories_Includes level editor;categories_Steam Workshop;categories_In-App Purchases;categories_Co-op;categories_Full controller support;categories_Steam Leaderboards;categories_SteamVR Collectibles;categories_Online Co-op;categories_Shared/Split Screen;categories_Local Co-op;categories_MMO;categories_VR Support;categories_Mods;categories_Mods (require HL2);categories_Steam Turn Notifications;achievements;%_ratings;QTD_ratings;owners_mean;average_playtime_>0;price;log_price;log_log_price
13480;597220;West of Loathing;2017;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;0.9762287182781882;3113;350000.0;1;8.29;2.2289385528257473;1.1721534618105378
13487;597700;OVIVO;2017;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0.9105691056910569;246;35000.0;0;3.99;1.6074359097634274;0.958367328401236
13501;598070;Nevrosa: Prelude;2017;1;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.9127906976744186;172;75000.0;0;0.0;0.0;0.0
13507;598330;SimAirport;2017;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0.7747594793435201;1767;75000.0;0;18.99;2.995232148512309;1.3851016872952149
13510;598440;Roots of Insanity;2017;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0.7186311787072244;263;35000.0;1;4.99;1.7900914121273581;1.0260743594998938
13511;598450;Slice, Dice & Rice;2017;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.6636085626911316;327;35000.0;1;6.99;2.0781907597781832;1.1243420087328786
13512;598470;Dungeon Creepster;2017;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0.4959785522788204;373;350000.0;1;3.99;1.6074359097634274;0.958367328401236
13516;598530;Naev;2017;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;108;75000.0;1;0.0;0.0;0.0
13518;598600;Silence in Space - Season One;2018;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0.4375;16;35000.0;0;1.69;0.9895411936137477;0.6879040561812957
13524;598700;The Vagrant;2018;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;0.9004216672072657;3083;150000.0;1;2.89;1.358409157630355;0.8579873059897187
13526;598810;Carcassonne - Tiles & Tactics;2017;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0.7651515151515151;264;75000.0;1;7.19;2.1029138978649784;1.1323416370519261
13530;598960;Mashinky;2018;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0.8751027115858668;1217;35000.0;0;18.99;2.995232148512309;1.3851016872952149
13538;599080;The Blackout Club;2018;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;14;0.8882466281310212;519;35000.0;0;15.49;2.8027541365715076;1.3357255769933607
13539;599090;15 Defense;2017;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5875;80;75000.0;1;1.99;1.095273387402595;0.739684040040582
13540;599100;Green Cat;2017;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;113;0.6621621621621622;74;150000.0;1;1.99;1.095273387402595;0.739684040040582
13541;599140;Graveyard Keeper;2018;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;62;0.7570550212833044;6343;350000.0;1;15.49;2.8027541365715076;1.3357255769933607
13544;599390;Battle for Wesnoth;2018;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9301745635910225;1203;350000.0;1;0.0;0.0;0.0
13547;599460;Weapon Shop Fantasy;2017;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0.7977941176470589;1088;150000.0;1;4.99;1.7900914121273581;1.0260743594998938
13554;599750;Crisis in the Kremlin;2017;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0.8378378378378378;777;75000.0;1;3.99;1.6074359097634274;0.958367328401236
13557;599880;Tequila Zombies 3;2017;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0.5483870967741935;31;35000.0;0;2.09;1.128171090909654;0.7552629681110614
13564;600120;Life Forge - Reborn ORPG;2018;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6839080459770115;348;75000.0;1;0.0;0.0;0.0
13565;600140;Belko VR: An Escape Room Experiment;2017;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8669438669438669;481;150000.0;0;0.0;0.0;0.0
